round_epochs,val_loss,loss,n_batch_size,n_epochs,optimizer,losses,n_neurons,prev_timesteps
10,0.006936805873343549,0.00036827797368773154,105,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,14,3
10,0.004658751775207859,0.0002533704035940982,105,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,5,1
154,0.03596748144560492,0.004659406644956164,16,154,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,43,24
154,8.764433922406946e-05,3.6012505976689976e-05,60,154,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,90,12
154,0.008351190713591064,0.0034475023437748604,83,154,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,5,1
106,0.00017518896216138442,7.371425297719179e-05,38,106,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,71,1
10,0.009270695220348395,0.0019274010599896756,83,10,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,3
202,0.022250064346991373,0.003784760219511572,38,202,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,33,3
58,0.021116459182159354,0.00796933564300667,60,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,90,1
58,0.029533903182087637,0.007455244145611046,83,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,14,3
202,0.018000278717628406,0.003950048408570435,38,202,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,43,12
202,0.009237212346338362,0.004853474527199047,38,202,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,33,3
10,0.11019355354027571,0.033719746899168006,38,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,43,3
58,0.017844332551143684,0.00936757930556656,105,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,62,6
10,0.05568096527247826,0.0005505711663562381,16,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,90,6
106,0.004653377329947167,0.004704352176011511,83,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,52,6
202,0.025185398850094576,0.004354387825872207,16,202,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,5,6
154,0.016264964748309862,0.005888818375212549,83,154,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,62,24
154,0.0010621177218783553,7.64280760509817e-05,105,154,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,90,3
106,8.505609394880992e-05,3.13304367822846e-05,83,106,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,43,1
154,0.003255869554819598,5.1857794499662866e-05,16,154,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,71,12
202,0.0005752168222416971,3.006218631144233e-05,60,202,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,24,12
10,0.01673242470365572,0.0007030173882062213,105,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,71,6
58,0.013914902338017732,0.006636254769980212,38,58,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,81,24
58,0.0034619135442155585,8.702690405040832e-05,38,58,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,33,6
202,0.004697650292138008,3.085574670517354e-05,16,202,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,33,1
58,0.00016087698987841777,4.925693611144539e-05,83,58,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,14,6
106,0.0042512586373524945,0.003772701601361891,105,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,43,24
58,0.007993607058553523,8.994224024096147e-05,16,58,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,5,1
10,0.040459520626602595,0.016960776255488683,105,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,52,3
10,0.018721996594274207,0.0006627023792301682,83,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,71,24
58,0.0026099633000543415,0.00011513878125328255,60,58,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,33,1
106,0.001151224265883174,5.3132678719855104e-05,60,106,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,14,3
106,0.025052058373541543,0.004951224316148663,38,106,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,62,1
10,0.052329149653898205,0.016025892332511664,105,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,33,24
10,0.07294261774524166,0.015250997556443317,60,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,43,6
10,0.06495456359857918,0.023903827396688462,60,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,43,12
10,0.0024028645625385693,0.00040239422306842304,83,10,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,43,6
154,0.04307110714204172,0.0030017305502767536,16,154,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,52,6
202,0.0011364103462297818,3.1069015607441165e-05,38,202,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,5,1
58,0.0024612135499473865,0.00018149198413148083,105,58,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,71,12
58,0.03323832933569477,0.0046024882830955705,16,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,33,12
