,device,gpsLat,gpsLon,rx_time,seqNumber,spfact,IPT
1073,3432333864377C18,,,2018-12-18 02:03:02.575,,8.0,64.0
1074,3432333864377C18,,,2018-12-18 02:03:05.472,,8.0,2.0
1075,3432333864377C18,,,2018-12-18 02:04:08.935,,8.0,63.0
1076,3432333864377C18,,,2018-12-18 02:04:11.831,,8.0,2.0
1077,3432333864377C18,,,2018-12-18 02:05:14.883,,8.0,63.0
1078,3432333864377C18,,,2018-12-18 02:05:17.215,,8.0,2.0
1080,3432333864377C18,,,2018-12-18 02:07:27.034,,8.0,62.0
1081,3432333864377C18,,,2018-12-18 02:07:30.533,,8.0,3.0
1082,3432333864377C18,,,2018-12-18 02:08:33.390,,8.0,62.0
1083,3432333864377C18,,,2018-12-18 02:08:36.285,,8.0,2.0
1084,3432333864377C18,,,2018-12-18 02:09:40.747,,8.0,64.0
1085,3432333864377C18,,,2018-12-18 02:09:43.645,,8.0,2.0
1087,3432333864377C18,,,2018-12-18 02:11:53.473,,8.0,67.0
1088,3432333864377C18,,,2018-12-18 02:11:55.372,,8.0,1.0
1089,3432333864377C18,,,2018-12-18 02:12:59.853,,8.0,64.0
1090,3432333864377C18,,,2018-12-18 02:13:02.751,,8.0,2.0
1092,3432333864377C18,,,2018-12-18 02:15:12.597,,8.0,66.0
1093,3432333864377C18,,,2018-12-18 02:15:18.634,,8.0,6.0
1094,3432333864377C18,,,2018-12-18 02:15:56.959,,8.0,38.0
1095,3432333864377C18,,,2018-12-18 02:16:18.620,,8.0,21.0
1096,3432333864377C18,,,2018-12-18 02:16:36.430,,8.0,17.0
1097,3432333864377C18,,,2018-12-18 02:17:29.525,,8.0,53.0
1098,3432333864377C18,,,2018-12-18 02:17:42.810,,8.0,13.0
1099,3432333864377C18,,,2018-12-18 02:18:35.510,,8.0,52.0
1100,3432333864377C18,,,2018-12-18 02:18:48.200,,8.0,12.0
1101,3432333864377C18,,,2018-12-18 02:19:41.908,,8.0,53.0
1102,3432333864377C18,,,2018-12-18 02:19:55.575,,8.0,13.0
1103,3432333864377C18,,,2018-12-18 02:20:48.675,,8.0,53.0
1104,3432333864377C18,,,2018-12-18 02:21:01.959,,8.0,13.0
1106,3432333864377C18,,,2018-12-18 02:23:01.426,,8.0,67.0
1107,3432333864377C18,,,2018-12-18 02:23:14.707,,8.0,13.0
1109,3432333864377C18,,,2018-12-18 02:25:13.178,,8.0,65.0
1110,3432333864377C18,,,2018-12-18 02:25:27.462,,8.0,14.0
1112,3432333864377C18,,,2018-12-18 02:27:26.559,,8.0,66.0
1113,3432333864377C18,,,2018-12-18 02:27:39.214,,8.0,12.0
1114,3432333864377C18,,,2018-12-18 02:28:32.948,,8.0,53.0
1115,3432333864377C18,,,2018-12-18 02:28:46.590,,8.0,13.0
1120,3432333864377C18,,,2018-12-18 02:34:04.174,,8.0,53.0
1121,3432333864377C18,,,2018-12-18 02:34:18.452,,8.0,14.0
1122,3432333864377C18,,,2018-12-18 02:35:11.546,,8.0,53.0
1123,3432333864377C18,,,2018-12-18 02:35:24.830,,8.0,13.0
1124,3432333864377C18,,,2018-12-18 02:36:17.921,,8.0,53.0
1125,3432333864377C18,,,2018-12-18 02:36:30.202,,8.0,12.0
1127,3432333864377C18,,,2018-12-18 02:38:30.680,,8.0,67.0
1128,3432333864377C18,,,2018-12-18 02:38:43.923,,8.0,13.0
1129,3432333864377C18,,,2018-12-18 02:39:36.047,,8.0,52.0
1130,3432333864377C18,,,2018-12-18 02:39:49.291,,8.0,13.0
1131,3432333864377C18,,,2018-12-18 02:40:43.413,,8.0,54.0
1132,3432333864377C18,,,2018-12-18 02:40:56.658,,8.0,13.0
1134,3432333864377C18,,,2018-12-18 02:42:55.155,,8.0,65.0
1135,3432333864377C18,,,2018-12-18 02:43:08.399,,8.0,13.0
1136,3432333864377C18,,,2018-12-18 02:44:02.512,,8.0,54.0
1137,3432333864377C18,,,2018-12-18 02:44:15.719,,8.0,13.0
1138,3432333864377C18,,,2018-12-18 02:44:52.068,,8.0,36.0
1139,3432333864377C18,,,2018-12-18 02:45:07.807,,8.0,15.0
1140,3432333864377C18,,,2018-12-18 02:45:20.337,,8.0,12.0
1292,3432333864377C18,,,2018-12-18 04:17:32.908,,8.0,64.0
1293,3432333864377C18,,,2018-12-18 04:18:02.464,,8.0,29.0
1306,3432333864377C18,,,2018-12-18 04:26:08.000,,8.0,65.0
1307,3432333864377C18,,,2018-12-18 04:26:36.268,,8.0,28.0
1312,3432333864377C18,,,2018-12-18 04:32:50.674,,8.0,37.0
1313,3432333864377C18,,,2018-12-18 04:32:52.298,,8.0,1.0
1314,3432333864377C18,,,2018-12-18 04:33:29.051,,8.0,36.0
1315,3432333864377C18,,,2018-12-18 04:33:51.968,,8.0,22.0
2517,3432333864377C18,51.2110595703125,4.407698631286621,2018-12-18 17:18:25.582,12007.0,7.0,42.0
2518,3432333864377C18,51.21904754638672,4.40418815612793,2018-12-18 17:18:46.805,11872.0,7.0,21.0
3058,3432333864377C18,,,2018-12-18 22:59:37.235,,7.0,39.0
3059,3432333864377C18,,,2018-12-18 23:00:05.451,,7.0,28.0
3060,3432333864377C18,,,2018-12-18 23:00:44.562,,7.0,39.0
3061,3432333864377C18,,,2018-12-18 23:01:11.780,,7.0,27.0
3062,3432333864377C18,,,2018-12-18 23:01:50.866,,7.0,39.0
3063,3432333864377C18,,,2018-12-18 23:02:17.092,,7.0,26.0
3064,3432333864377C18,,,2018-12-18 23:02:40.792,,7.0,23.0
3288,3432333864377C18,,,2018-12-19 01:26:16.998,,7.0,39.0
3289,3432333864377C18,,,2018-12-19 01:26:43.232,,7.0,26.0
3291,3432333864377C18,,,2018-12-19 01:28:29.410,,7.0,66.0
3292,3432333864377C18,,,2018-12-19 01:28:56.050,,7.0,26.0
3294,3432333864377C18,,,2018-12-19 01:30:42.634,,7.0,67.0
3295,3432333864377C18,,,2018-12-19 01:31:09.824,,7.0,27.0
3296,3432333864377C18,,,2018-12-19 01:31:48.011,,7.0,38.0
3297,3432333864377C18,,,2018-12-19 01:31:56.550,,7.0,8.0
3330,3432333864377C18,,,2018-12-19 01:53:42.008,,8.0,38.0
3331,3432333864377C18,,,2018-12-19 01:54:09.234,,8.0,27.0
3332,3432333864377C18,,,2018-12-19 01:54:49.412,,8.0,40.0
3333,3432333864377C18,,,2018-12-19 01:55:16.651,,8.0,27.0
3334,3432333864377C18,,,2018-12-19 01:55:55.841,,8.0,39.0
3335,3432333864377C18,,,2018-12-19 01:56:22.084,,8.0,26.0
3336,3432333864377C18,,,2018-12-19 01:57:01.223,,8.0,39.0
3337,3432333864377C18,,,2018-12-19 01:57:28.443,,8.0,27.0
3338,3432333864377C18,,,2018-12-19 01:57:48.953,,8.0,20.0
4652,3432333864377C18,51.21901321411133,4.408280372619629,2018-12-19 16:38:39.440,14543.0,10.0,40.0
4653,3432333864377C18,51.21903610229492,4.408328533172607,2018-12-19 16:39:05.629,14544.0,9.0,26.0
4873,3432333864377C18,51.2301139831543,4.402609348297119,2018-12-19 19:07:22.371,14826.0,8.0,39.0
4874,3432333864377C18,51.2301139831543,4.40261173248291,2018-12-19 19:07:46.613,14827.0,8.0,24.0
6194,3432333864377C18,51.19841384887695,4.41075325012207,2018-12-20 08:17:36.088,16331.0,10.0,38.0
6195,3432333864377C18,51.197715759277344,4.407983303070068,2018-12-20 08:18:03.238,16332.0,10.0,27.0
